"","gender","age","job","account","YearlyIncome","YearlyOutcome","transaction_type","yearly_deposit_transactions","yearly_withdrawl_transactions","average_deposit_ammount","average_withdrawl_ammount","transaction_amount","weekly_deposits","weekly_withdrawls","weekly_amount","observed_weekly_amount","flag"
"169","Male","58","Private Business","Current","50085290","3341380","Deposit","3686","1800","13587","1856","97546","85","37","652222","652207","dep_Suspicious"
"170","Male","62","Employee","Current","1922470","912970","Deposit","134","770","14346","1185","1163868","1","11","688645","688074","dep_Suspicious"
"171","Male","35","Employee","Saving","2085436","0","Deposit","23","746","90671","0","761413","0","18","4352214","4349462","dep_Suspicious"
"172","Female","18","Student","Saving","672646","534512","Withdrawl","20","161","33632","3319","221817","1","4","1614350","1612652","Normal"
"173","Female","41","Employee","Saving","1977404","0","Withdrawl","39","718","50702","0","0","3","15","2433728","2434771","Normal"
"174","Male","49","Employee","Current","1843242","822385","Withdrawl","143","790","12889","1040","43029","3","21","618710","620554","Normal"
"175","Female","62","Private Business","Current","49909171","3448735","Withdrawl","3549","1847","14062","1867","114102","80","33","675018","674881","Normal"
"176","Male","43","Private Business","Current","50003521","3507627","Deposit","3573","1792","13994","1957","2209266","92","27","671751","670538","dep_Suspicious"
"177","Female","27","Employee","Saving","1971073","0","Deposit","25","755","78842","0","1531041","0","17","3784460","3784073","dep_Suspicious"
"178","Male","33","Private Business","Current","50000753","3432085","Deposit","3582","1861","13958","1844","1805295","70","48","670026","671811","dep_Suspicious"
"179","Female","51","House Wife","Saving","50000753","3432085","Withdrawl","18","367","2777819","9351","80106","0","13","133335341","133336098","Normal"
"180","Male","22","Private Business","Current","49973139","3566681","Deposit","3622","1728","13797","2064","1371763","71","44","662261","662949","dep_Suspicious"
"181","Male","52","Employee","Saving","1986229","0","Deposit","28","676","70936","0","697895","0","12","3404964","3404501","dep_Suspicious"
"182","Male","49","Employee","Saving","2103550","0","Deposit","26","701","80905","0","433936","1","14","3883476","3884333","dep_Suspicious"
"183","Male","43","Employee","Saving","2080729","0","Withdrawl","27","715","77064","0","0","0","15","3699073","3699272","Normal"
"184","Female","24","Employee","Saving","1794816","0","Withdrawl","38","724","47232","0","0","0","19","2267136","2266840","Normal"
"185","Female","35","Private Business","Current","49886575","3545991","Withdrawl","3563","1787","14001","1984","125430","81","30","672061","671743","Normal"
"186","Male","34","Employee","Saving","2220308","0","Withdrawl","30","757","74010","0","0","3","12","3552492","3553081","Normal"
"187","Male","40","Private Business","Current","49898042","3463274","Withdrawl","3480","1777","14338","1948","130723","81","38","688248","688467","Normal"
"188","Male","36","Employee","Saving","1950493","0","Withdrawl","39","685","50012","0","0","2","13","2400606","2399766","Normal"
"189","Female","24","Employee","Saving","2157471","0","Deposit","37","695","58310","0","593053","0","13","2798881","2797431","dep_Suspicious"
"190","Male","54","Private Business","Current","50057211","3214667","Withdrawl","3604","1856","13889","1732","4224","67","35","666688","666299","Normal"
"191","Female","44","Employee","Saving","1801748","0","Withdrawl","33","734","54598","0","0","0","19","2620724","2621343","Normal"
"192","Male","29","Employee","Saving","1910510","0","Deposit","22","740","86841","0","1257252","1","14","4168385","4167667","dep_Suspicious"
"193","Male","21","Student","Saving","672182","570740","Withdrawl","21","136","32008","4196","123798","0","4","1536416","1535001","Normal"
"194","Female","35","Employee","Saving","1975210","0","Withdrawl","40","714","49380","0","0","0","17","2370252","2371885","Normal"
"195","Female","31","House Wife","Saving","1975210","0","Deposit","27","409","73155","0","606340","0","10","3511484","3511483","dep_Suspicious"
"196","Female","47","House Wife","Saving","1975210","0","Withdrawl","26","337","75969","0","0","0","4","3646541","3646145","Normal"
"197","Male","25","Employee","Saving","1824396","0","Withdrawl","32","750","57012","0","0","3","15","2736594","2736107","Normal"
"198","Female","23","Private Business","Saving","49985732","40196346","Deposit","30","689","1666191","58340","1722229","0","15","79977171","79977583","Normal"
"199","Male","52","Private Business","Current","49936399","3469144","Withdrawl","3500","1844","14267","1881","130385","74","41","684842","683760","Normal"
"1100","Male","31","Private Business","Current","49907276","3564574","Withdrawl","3614","1834","13809","1943","6782","64","29","662852","661314","Normal"
"1101","Male","41","Employee","Saving","2039219","0","Deposit","27","727","75526","0","211764","1","15","3625278","3624037","dep_Suspicious"
"1102","Male","49","Private Business","Saving","50266954","39967018","Deposit","24","699","2094456","57177","1644630","2","13","100533908","100534121","Normal"
"1103","Male","57","Employee","Saving","2005923","0","Deposit","30","712","66864","0","939504","3","15","3209476","3209439","dep_Suspicious"
"1104","Male","36","Employee","Current","1562092","979116","Withdrawl","120","853","13017","1147","66238","4","13","624836","624073","Normal"
"1105","Male","27","Private Business","Current","50058613","3695127","Deposit","3595","1739","13924","2124","1747743","76","37","668376","667014","dep_Suspicious"
"1106","Male","19","Student","Saving","756229","390358","Withdrawl","21","139","36010","2808","35354","1","4","1728523","1727770","Normal"
"1107","Female","39","Employee","Current","1781646","819032","Withdrawl","129","842","13811","972","103726","2","21","662938","662963","Normal"
"1108","Male","18","Student","Saving","764742","492863","Withdrawl","21","130","36416","3791","11350","1","1","1747981","1749303","Normal"
"1109","Female","30","Employee","Investment","4892221","1009086","Withdrawl","1","2","4892221","504543","453313","0","0","234826608","234826878","Normal"
"1110","Female","40","Employee","Saving","1970464","0","Deposit","46","710","42836","0","93305","0","18","2056136","2056379","dep_Suspicious"
"1111","Male","53","Employee","Current","1996570","989429","Deposit","150","811","13310","1220","386568","3","15","638902","639787","dep_Suspicious"
"1112","Male","35","Employee","Investment","5036362","998605","Withdrawl","1","2","5036362","499302","526313","0","0","241745376","241745083","Normal"
"1113","Female","46","Employee","Current","1804026","795383","Withdrawl","137","808","13168","984","183352","4","23","632067","634160","Normal"
"1114","Female","43","Private Business","Current","49937867","3473976","Deposit","3515","1768","14207","1964","1003031","70","38","681939","681853","dep_Suspicious"
"1115","Female","23","Private Business","Current","50015119","3473816","Withdrawl","3716","1842","13459","1885","101400","70","40","646051","647005","Normal"
"1116","Female","48","House Wife","Saving","50015119","3473816","Deposit","16","332","3125944","10463","3185459","0","6","150045357","150046035","Normal"
"1117","Male","42","Employee","Saving","1788077","0","Withdrawl","26","729","68772","0","0","0","19","3301065","3302115","Normal"
"1118","Male","55","Private Business","Current","49940936","3482901","Deposit","3572","1834","13981","1899","1407194","93","41","671098","670896","dep_Suspicious"
"1119","Male","24","Employee","Saving","2127495","0","Withdrawl","33","731","64469","0","0","3","17","3094538","3093176","Normal"
"1120","Male","41","Employee","Saving","1938045","0","Withdrawl","36","735","53834","0","0","1","12","2584060","2583337","Normal"
"1121","Male","29","Employee","Saving","2107984","0","Withdrawl","19","722","110946","0","0","1","13","5325433","5325960","Normal"
"1122","Male","22","Employee","Saving","1866440","0","Withdrawl","38","717","49116","0","0","0","21","2357608","2358556","Normal"
"1123","Female","52","Private Business","Investment","50160664","9999144","Deposit","1","1","50160664","9999144","50412868","0","0","2407711872","2407711598","Normal"
"1124","Male","20","Student","Saving","764683","402273","Withdrawl","31","148","24667","2718","79898","1","4","1184025","1183601","Normal"
"1125","Female","22","Employee","Saving","1933702","0","Withdrawl","35","717","55248","0","0","0","11","2651934","2652609","Normal"
"1126","Male","44","Employee","Saving","1812880","0","Withdrawl","28","739","64745","0","0","0","11","3107794","3107458","Normal"
"1127","Male","51","Employee","Current","1789302","926062","Withdrawl","150","805","11928","1150","97723","3","14","572576","572946","Normal"
"1128","Male","47","Employee","Saving","1859436","0","Withdrawl","33","700","56346","0","0","1","16","2704634","2704682","Normal"
"1129","Male","27","Employee","Current","1606449","825044","Withdrawl","139","846","11557","975","26134","5","15","554744","554196","Normal"
"1130","Male","22","Employee","Current","1956343","924785","Deposit","148","830","13218","1114","180416","3","17","634489","634857","dep_Suspicious"
"1131","Male","47","Employee","Current","1948687","901638","Deposit","125","789","15589","1142","977534","3","13","748295","747908","dep_Suspicious"
"1132","Male","28","Private Business","Saving","50029554","40049027","Deposit","29","702","1725157","57049","1068763","1","22","82807537","82807887","Normal"
"1133","Male","27","Employee","Saving","2018649","0","Withdrawl","27","715","74764","0","0","0","19","3588709","3587367","Normal"
"1134","Male","47","Private Business","Current","49900367","3529863","Withdrawl","3666","1795","13611","1966","3505","72","28","653359","654641","Normal"
"1135","Female","25","Private Business","Current","49894924","3512303","Withdrawl","3733","1781","13365","1972","28252","76","30","641563","640834","Normal"
"1136","Female","21","House Wife","Saving","49894924","3512303","Withdrawl","13","360","3838071","9756","31766","1","15","184227411","184226713","Normal"
"1137","Male","34","Employee","Investment","4841713","1060607","Deposit","1","3","4841713","353535","4128414","0","0","232402224","232403467","Normal"
"1138","Male","36","Employee","Saving","1979939","0","Withdrawl","28","705","70712","0","0","0","17","3394181","3393730","Normal"
"1139","Male","42","Employee","Current","1777272","984694","Withdrawl","156","819","11392","1202","12445","4","22","546852","546225","Normal"
"1140","Male","58","Employee","Saving","1964764","0","Withdrawl","28","661","70170","0","0","0","21","3368166","3370083","Normal"
"1141","Female","30","Private Business","Current","50034435","3402579","Withdrawl","3606","1823","13875","1866","11810","86","45","666015","665693","Normal"
"1142","Female","21","Student","Saving","768495","533774","Withdrawl","31","136","24790","3924","12448","0","2","1189927","1189119","Normal"
"1143","Female","21","Student","Saving","699317","598914","Withdrawl","26","139","26896","4308","6070","0","3","1291046","1292574","Normal"
"1144","Female","24","Private Business","Current","49944886","3596481","Withdrawl","3453","1767","14464","2035","60825","73","36","694281","694641","Normal"
"1145","Female","55","Private Business","Current","50174384","3455604","Deposit","3624","1826","13845","1892","2572651","92","33","664561","664765","dep_Suspicious"
"1146","Female","48","Employee","Current","1865822","786979","Deposit","143","746","13047","1054","197419","2","16","626289","625875","dep_Suspicious"
"1147","Female","63","Private Business","Current","50062792","3470377","Withdrawl","3510","1794","14262","1934","125987","71","52","684619","684646","Normal"
"1148","Male","36","Employee","Current","2015022","953055","Withdrawl","141","788","14290","1209","170044","6","16","685964","685575","Normal"
"1149","Male","57","Employee","Saving","2019913","0","Withdrawl","24","732","84163","0","0","1","12","4039826","4041045","Normal"
"1150","Female","64","Private Business","Current","49952114","3571564","Deposit","3659","1785","13651","2000","1514758","85","41","655288","655557","dep_Suspicious"
"1151","Male","61","Private Business","Current","50075094","3380048","Deposit","3640","1866","13756","1811","623621","79","33","660330","660320","dep_Suspicious"
"1152","Female","54","Private Business","Current","49782575","3375873","Withdrawl","3580","1892","13905","1784","6054","82","37","667475","666607","Normal"
"1153","Male","55","Employee","Investment","4983616","904496","Deposit","1","1","4983616","904496","4829081","0","0","239213568","239212466","Normal"
"1154","Female","63","Employee","Saving","1944643","0","Withdrawl","24","780","81026","0","0","0","12","3889286","3889075","Normal"
"1155","Male","20","Private Business","Current","50101477","3605060","Deposit","3606","1811","13893","1990","1529316","67","38","666908","667047","dep_Suspicious"
"1156","Male","37","Private Business","Investment","50092722","9915243","Deposit","1","2","50092722","4957621","49493240","0","0","2404450656","2404451378","Normal"
"1157","Male","34","Employee","Current","1903685","962357","Deposit","151","817","12607","1177","975009","0","18","605144","607937","dep_Suspicious"
"1158","Male","20","Student","Saving","816821","478793","Withdrawl","34","128","24024","3740","55710","1","2","1153159","1153602","Normal"
"1159","Male","32","Employee","Current","1923557","952795","Withdrawl","154","844","12490","1128","4948","3","14","599550","599420","Normal"
"1160","Male","29","Student","Saving","833860","565283","Withdrawl","21","144","39707","3925","6096","1","4","1905965","1907070","Normal"
"1161","Female","34","Private Business","Current","50032973","3373117","Deposit","3633","1797","13771","1877","788111","86","30","661046","658830","dep_Suspicious"
"1162","Female","28","Employee","Saving","2015884","0","Withdrawl","33","692","61087","0","0","1","13","2932194","2933062","Normal"
"1163","Male","27","Employee","Saving","2072815","0","Withdrawl","29","752","71476","0","0","0","20","3430866","3431042","Normal"
"1164","Female","37","Private Business","Investment","50164874","9860074","Withdrawl","1","1","50164874","9860074","9714134","0","0","2407913952","2407914926","Normal"
"1165","Female","46","Private Business","Saving","50030264","40097473","Deposit","33","732","1516068","54777","1661508","0","14","72771293","72772043","Normal"
"1166","Male","46","Private Business","Current","49904954","3529453","Deposit","3533","1801","14125","1959","768731","64","29","678018","678322","dep_Suspicious"
"1167","Male","22","Private Business","Current","50001622","3571300","Withdrawl","3593","1770","13916","2017","33597","105","32","667987","670417","smurf_suspicious"
"1168","Male","44","Employee","Saving","1875808","0","Withdrawl","27","763","69474","0","0","1","22","3334769","3333023","Normal"
"1169","Male","32","Private Business","Current","49906590","3481342","Withdrawl","3627","1755","13759","1983","9314","76","33","660467","660892","Normal"
"1170","Male","47","Employee","Saving","2007205","0","Withdrawl","36","713","55755","0","0","1","12","2676273","2674917","Normal"
"1171","Male","53","Private Business","Current","50000048","3335663","Deposit","3645","1809","13717","1843","2324128","77","40","658436","656933","dep_Suspicious"
"1172","Male","22","Employee","Current","1810360","1032569","Deposit","136","809","13311","1276","790231","3","10","638950","639626","dep_Suspicious"
"1173","Male","50","Employee","Saving","2180106","0","Withdrawl","28","711","77860","0","0","1","16","3737324","3737875","Normal"
"1174","Male","35","Employee","Saving","2108424","0","Deposit","31","641","68013","0","1036378","0","13","3264656","3264919","dep_Suspicious"
"1175","Male","33","Employee","Saving","2049313","0","Withdrawl","32","752","64041","0","0","1","12","3073969","3072822","Normal"
"1176","Male","30","Employee","Current","1699103","784516","Deposit","142","866","11965","905","749338","4","25","574344","572673","dep_Suspicious"
"1177","Female","48","House Wife","Saving","1699103","784516","Withdrawl","14","369","121364","2126","51541","1","11","5825496","5826186","Normal"
"1178","Female","26","Employee","Saving","2026554","0","Withdrawl","36","746","56293","0","0","2","16","2702072","2702773","Normal"
"1179","Male","19","Student","Saving","658574","599801","Withdrawl","32","125","20580","4798","60732","2","3","987861","987108","Normal"
"1180","Male","35","Employee","Current","1886364","943320","Deposit","141","804","13378","1173","199850","2","23","642166","641217","dep_Suspicious"
"1181","Female","19","Student","Saving","637634","524631","Withdrawl","25","127","25505","4130","175771","0","4","1224257","1225158","Normal"
"1182","Female","62","Private Business","Current","50113736","3454732","Withdrawl","3670","1792","13654","1927","942","62","28","655438","656942","Normal"
"1183","Female","26","Employee","Current","1846645","837879","Withdrawl","132","797","13989","1051","189122","5","19","671507","672707","Normal"
"1184","Male","44","Employee","Saving","2057530","0","Withdrawl","17","756","121031","0","0","0","10","5809496","5809997","Normal"
"1185","Female","25","Employee","Current","1671488","865340","Deposit","145","736","11527","1175","517294","1","17","553320","552856","dep_Suspicious"
"1186","Female","18","Student","Saving","742147","483549","Deposit","37","133","20058","3635","239474","0","4","962785","963035","dep_Suspicious"
"1187","Male","40","Employee","Saving","1963698","0","Withdrawl","24","735","81820","0","0","0","15","3927396","3925597","Normal"
"1188","Male","22","Private Business","Current","50280846","3437879","Withdrawl","3691","1819","13622","1889","46715","78","38","653882","653121","Normal"
"1189","Male","33","Student","Saving","642765","657823","Withdrawl","18","155","35709","4244","127306","0","4","1714040","1714319","Normal"
"1190","Female","46","Private Business","Current","49882969","3542688","Deposit","3569","1744","13976","2031","702699","77","33","670883","671997","dep_Suspicious"
"1191","Female","63","Employee","Current","1858910","853835","Deposit","131","803","14190","1063","1610677","3","18","681127","680379","dep_Suspicious"
"1192","Male","32","Employee","Current","1747030","905834","Withdrawl","155","828","11271","1094","62056","3","14","541015","542933","Normal"
"1193","Female","31","Private Business","Saving","50064649","39912821","Deposit","31","734","1614988","54377","1432693","1","12","77519456","77518970","Normal"
"1194","Male","62","Private Business","Saving","49914407","40079867","Deposit","35","752","1426125","53297","1044979","1","11","68454043","68454564","Normal"
"1195","Male","32","Employee","Saving","1991144","0","Withdrawl","34","734","58563","0","0","1","12","2811026","2811760","Normal"
"1196","Male","36","Employee","Saving","1906217","0","Withdrawl","32","688","59569","0","0","2","17","2859325","2860417","Normal"
"1197","Male","28","Employee","Saving","2155279","0","Withdrawl","39","716","55263","0","0","0","12","2652651","2654949","Normal"
"1198","Female","51","Private Business","Current","49781162","3497336","Withdrawl","3529","1831","14106","1910","84679","69","38","677102","676493","Normal"
"1199","Male","27","Private Business","Saving","50129047","39936521","Withdrawl","26","700","1928040","57052","44593","2","19","92545932","92546326","Normal"
"1200","Male","49","Private Business","Saving","50037691","39999228","Deposit","30","747","1667923","53546","2033287","0","18","80060305","80059267","Normal"
"1201","Male","24","Employee","Saving","2000911","0","Withdrawl","31","663","64545","0","0","0","16","3098184","3097732","Normal"
"1202","Male","63","Private Business","Saving","50022987","40215532","Deposit","33","733","1515848","54864","1806816","0","13","72760708","72760647","Normal"
"1203","Female","22","Employee","Current","1710393","751768","Withdrawl","134","808","12764","930","187387","0","16","612678","612619","Normal"
"1204","Male","29","Employee","Current","1870282","814771","Withdrawl","128","782","14611","1041","11563","2","21","701355","701581","Normal"
"1205","Female","35","House Wife","Saving","1870282","814771","Deposit","21","358","89061","2275","24977","1","7","4274930","4273879","Normal"
"1206","Male","52","Private Business","Current","49865480","3544662","Withdrawl","3589","1778","13893","1993","126763","69","39","666910","665717","Normal"
"1207","Male","56","Private Business","Saving","50023110","40022048","Deposit","20","740","2501155","54083","2481063","1","17","120055464","120056264","Normal"
"1208","Female","35","Private Business","Saving","49954954","40184525","Deposit","26","735","1921344","54672","2440841","0","13","92224530","92225100","Normal"
"1209","Male","23","Employee","Investment","4999629","841422","Withdrawl","2","1","2499814","841422","863757","0","0","119991096","119990199","Normal"
"1210","Male","53","Employee","Saving","1987712","0","Withdrawl","26","722","76450","0","0","0","14","3669622","3669243","Normal"
"1211","Male","61","Private Business","Current","50025247","3493945","Withdrawl","3678","1803","13601","1937","98631","82","37","652858","654024","smurf_suspicious"
"1212","Female","19","Student","Saving","679819","441202","Withdrawl","14","150","48558","2941","47360","0","2","2330808","2330555","Normal"
"1213","Male","47","Employee","Current","1924475","908293","Withdrawl","126","739","15273","1229","131223","4","13","733133","734474","Normal"
"1214","Male","42","Private Business","Current","50105892","3521121","Withdrawl","3670","1778","13652","1980","77945","79","29","655335","656696","Normal"
"1215","Male","20","Student","Saving","651978","660297","Withdrawl","20","151","32598","4372","25711","0","4","1564747","1565375","Normal"
"1216","Male","38","Private Business","Current","50002002","3504001","Deposit","3669","1743","13628","2010","874283","69","35","654155","652152","dep_Suspicious"
"1217","Female","43","Employee","Saving","2034721","0","Withdrawl","28","737","72668","0","0","1","14","3488093","3488538","Normal"
"1218","Male","31","Employee","Saving","2044326","0","Withdrawl","26","744","78627","0","0","0","10","3774140","3774961","Normal"
"1219","Male","52","Employee","Saving","2002380","0","Withdrawl","32","757","62574","0","0","0","11","3003570","3003431","Normal"
"1220","Male","68","Retired","Current","814611","427373","Deposit","1124","368","724","1161","0","30","8","34787","32696","Normal"
"1221","Male","22","Employee","Saving","2053887","0","Deposit","35","669","58682","0","262041","2","11","2816759","2818514","dep_Suspicious"
"1222","Male","19","Student","Saving","854948","358620","Withdrawl","27","138","31664","2598","44918","1","1","1519907","1519373","Normal"
"1223","Male","20","Private Business","Saving","49929915","40106169","Deposit","32","685","1560309","58549","1516835","0","12","74894872","74895099","Normal"
"1224","Female","39","Employee","Saving","2038602","0","Deposit","35","742","58245","0","612578","2","16","2795797","2795305","dep_Suspicious"
"1225","Female","38","Employee","Current","1714171","996426","Withdrawl","144","833","11903","1196","126555","2","17","571390","569140","Normal"
